// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	    410000	      3764	      3198
    100000	    410000	      4707	      3250
        10	    420000	      3806	      3569
       100	    420000	      3888	      3898
      1000	    420000	      3847	      3888
     10000	    420000	      4386	      3895
    100000	    420000	      4461	      3009
        10	    430000	      4176	      3609
       100	    430000	      4417	      3887
      1000	    430000	      3829	      4014
     10000	    430000	      3965	      3499
    100000	    430000	      4641	      2558
        10	    440000	      3588	      3623
       100	    440000	      3566	      3530
      1000	    440000	      3543	      3464
     10000	    440000	      3776	      3070
    100000	    440000	      4180	      4483
        10	    450000	      3701	      3468
       100	    450000	      3573	      3973
      1000	    450000	      3695	      3591
     10000	    450000	      4291	      3039
    100000	    450000	      4529	      2643
        10	    460000	      3968	      3527
       100	    460000	      4458	      4287
      1000	    460000	      4076	      3735
     10000	    460000	      4622	      3224
    100000	    460000	      4439	      2469
        10	    470000	      3960	      4005
       100	    470000	      3849	      3686
      1000	    470000	      3736	      3822
     10000	    470000	      4243	      3408
    100000	    470000	      4592	      3989
        10	    480000	      4160	      3983
       100	    480000	      4018	      3854
      1000	    480000	      3800	      3694
     10000	    480000	      4612	      3286
    100000	    480000	      4642	      2619
        10	    490000	      4036	      4247
       100	    490000	      3762	      3865
      1000	    490000	      3918	      3746
     10000	    490000	      4055	      3587
    100000	    490000	      5115	      2605
        10	    500000	      4129	      3879
       100	    500000	      4222	      3854
      1000	    500000	      4091	      3780
     10000	    500000	      5151	      3488
    100000	    500000	      5193	      2597
        10	    510000	      4197	      4032
       100	    510000	      4266	      4102
      1000	    510000	      4355	      4000
     10000	    510000	      4631	      3687
    100000	    510000	      5364	      2649
        10	    520000	      4490	      4145
       100	    520000	      4230	      3881
      1000	    520000	      4622	      4003
     10000	    520000	      5200	      3562
    100000	    520000	      5787	      2690
        10	    530000	      4491	      4185
       100	    530000	      4248	      4159
      1000	    530000	      4530	      4007
     10000	    530000	      4665	      3622
    100000	    530000	      5825	      2776
        10	    540000	      4307	      4732
       100	    540000	      4316	      4209
      1000	    540000	      4576	      4104
     10000	    540000	      4946	      4210
    100000	    540000	      5289	      3381
        10	    550000	      5635	      5062
       100	    550000	      5152	      5137
      1000	    550000	      5254	      4925
     10000	    550000	      5496	      5120
    100000	    550000	      6376	      3509
        10	    560000	      5465	      5580
       100	    560000	      5143	      5134
      1000	    560000	      5111	      5112
     10000	    560000	      5339	      4670
    100000	    560000	      6535	      3561
        10	    570000	      5118	      4751
       100	    570000	      5111	      5583
      1000	    570000	      5346	      4755
     10000	    570000	      5269	      4471
    100000	    570000	      6212	      3552
        10	    580000	      5197	      4810
       100	    580000	      5237	      4472
      1000	    580000	      4683	      4367
     10000	    580000	      4866	      3990
    100000	    580000	      5595	      2976
